a52dec 0.7.4-11
python-cryptography 38.0.1-1
python-cssselect 1.1.0-9
python-cycler 0.11.0-1
python-dateutil 2.8.2-4
python-distlib 0.3.6-1
python-distro 1.7.0-1
python-dnspython 1:2.2.1-1
python-docker 6.0.0-1
python-docker-pycreds 0.4.0-9
python-dockerpty 0.4.1-9
python-docopt 0.6.2-11
python-docutils 1:0.19-2
python-dotenv 0.21.0-1
python-fonttools 4.38.0-1
python-future 0.18.2-7
python-gdal 3.5.1-5
python-gobject 3.42.2-1
python-html5lib 1.1-11
python-idna 3.4-1
python-imagesize 1.4.1-2
python-importlib-metadata 5.0.0-1
python-inflect 6.0.2-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.10.0-1
python-jinja 1:3.1.2-2
python-josepy 1.13.0-2
python-jsonpointer 2.3-1
python-jsonschema 4.16.0-2
python-kiwisolver 1.4.4-1
python-lxml 4.9.1-1
python-markdown 3.4.1-2
python-markdown2 2.4.3-1
python-markupsafe 2.1.1-1
python-matplotlib 3.5.2-1
python-more-itertools 9.0.0-1
python-msgpack 1.0.4-1
python-netaddr 0.8.0-5
python-netifaces 0.11.0-3
python-nspektr 0.4.0-2
python-numpy 1.23.4-1
python-ordered-set 4.1.0-1
python-owslib 0.27.2-1
python-packaging 21.3-1
python-paramiko 2.11.0-2
python-parsedatetime 2.6-5
python-pep517 0.13.0-1
python-pillow 9.2.0-1
python-pip 22.3-1
python-platformdirs 2.5.2-1
python-ply 3.11-10
python-progress 1.6-5
python-psycopg2 2.9.3-2
python-pycparser 2.21-3
python-pycryptodomex 3.12.0-1
python-pycurl 7.45.1-1
python-pydantic 1.10.2-1
python-pygments 2.13.0-1
python-pynacl 1.4.0-5
python-pyopenssl 22.1.0-1
python-pyparsing 3.0.9-1
python-pyproj 3.3.1-1
python-pyqt5 5.15.7-2
python-pyqt5-sip 12.11.0-1
python-pyrfc3339 1.1-9
python-pyrsistent 0.19.0-1
python-pytz 2022.1-1
python-qscintilla-qt5 2.13.3-1
python-requests 2.28.1-1
python-requests-toolbelt 0.10.0-1
python-resolvelib 0.8.1-1
python-retrying 1.3.3-13
python-rfc3987 1.3.8-8
python-rich 12.6.0-2
python-scapy 2.4.5-4
python-setuptools 1:63.4.3-1
python-shtab 1.5.5-1
python-simplejson 3.17.6-4
python-six 1.16.0-6
python-snowballstemmer 2.2.0-3
python-sphinx 5.3.0-1
python-sphinx-alabaster-theme 0.7.12-9
python-sphinxcontrib-applehelp 1.0.2-9
python-sphinxcontrib-devhelp 1.0.2-9
python-sphinxcontrib-htmlhelp 2.0.0-5
python-sphinxcontrib-jsmath 1.0.1-12
python-sphinxcontrib-qthelp 1.0.3-9
python-sphinxcontrib-serializinghtml 1.1.5-4
python-tenacity 8.1.0-1
python-termcolor 2.0.1-1
python-terminaltables 3.1.0-9
